사용년월	전체일수	작업가능일수	중복일수	공휴일	최고기온	최저기온	강우	풍속	강설	안개	미세먼지	NIS	NOS	FIS	FOS	CIS	COS	NIGT	NOGT	FIGT	FOGT	CIGT	COGT
2018년10월	31	21	1	6	0	0	2	2	0	1	0	675	700	1619	1616	1817	1845	3897018	3756857	50804879	50189803	1729333	1771894
2018년11월	30	21	1	4	0	0	1	2	0	1	2	717	711	1618	1589	1765	1757	4234648	3916489	52393511	51214528	1683618	1666406
2018년12월	31	19	1	6	0	0	2	0	0	2	3	682	646	1582	1591	1609	1614	4239954	3738994	51926993	52157969	1553274	1557424
2019년01월	31	24	0	5	0	0	1	0	0	0	1	608	645	1732	1705	1742	1732	3756568	3707064	53704652	53370540	1728665	1659865
2019년02월	28	20	1	7	0	0	2	0	0	0	0	602	603	1499	1523	1424	1433	3528423	3301609	45827207	45508614	1377467	1358551
2019년03월	31	20	1	6	0	0	2	2	0	0	2	682	678	1676	1699	1658	1670	3981007	3809898	52829667	52323439	1696219	1648257
2019년04월	30	22	1	4	0	0	3	1	0	1	0	664	657	1700	1678	1637	1641	3853288	3646798	52542119	52439836	1588790	1598062
2019년05월	31	23	1	5	0	0	2	1	0	0	1	642	681	1715	1710	1606	1620	3679548	3548723	54901638	53863765	1600736	1603608
2019년06월	30	14	2	6	0	0	5	1	0	5	1	637	633	1640	1667	1553	1533	3784526	3507634	50509500	50662481	1564272	1505690
2019년07월	31	16	2	4	0	0	5	2	0	5	1	632	634	1605	1626	1749	1757	4124072	3790836	51760452	50884002	1598297	1573008
2019년08월	31	19	1	5	3	0	3	1	0	1	0	554	557	1565	1572	1887	1886	3928587	3720528	51200593	50904722	1641975	1623583
